# Cleared Bounties Log
# Packages that were found in Red Hat trusted libraries and removed from bounty board
# Format: YYYY-MM-DD HH:MM:SS | package-name | position | priority | PR link

# Cleared on 2026-06-26 14:41:05
2026-06-26 14:41:05 | langchain | Position: 46 | Priority: MEDIUM (exploit interest) | PR: https://github.com/calungaproject/index/pull/1621
2026-06-26 14:41:05 | langgraph | Position: 51 | Priority: MEDIUM (exploit interest) | PR: https://github.com/calungaproject/index/pull/1912
2026-06-26 14:41:05 | openinference-instrumentation | Position: 69 | Priority: MEDIUM (exploit interest) | PR: N/A
2026-06-26 14:41:05 | openinference-semantic-conventions | Position: 80 | Priority: MEDIUM (exploit interest) | PR: N/A

# Cleared on 2026-06-29 08:22:07
2026-06-29 08:22:07 | matplotlib-inline | Position: 10 | Priority: HIGH (both lists) | PR: https://github.com/calungaproject/index/pull/1467
2026-06-29 08:22:07 | appdirs | Position: 27 | Priority: MEDIUM (exploit interest) | PR: https://github.com/calungaproject/index/pull/2224
2026-06-29 08:22:07 | ipython | Position: 45 | Priority: MEDIUM (exploit interest) | PR: https://github.com/calungaproject/index/pull/1454
2026-06-29 08:22:07 | PyPika | Position: 616 | Priority: LOW (lightwell priority) | PR: https://github.com/calungaproject/index/pull/2575

# Cleared on 2026-06-29 10:55:08
2026-06-29 10:55:08 | language-data | Position: 7 | Priority: HIGH (top priority) | PR: https://github.com/calungaproject/index/pull/4188
2026-06-29 10:55:08 | marisa-trie | Position: 9 | Priority: HIGH (top priority) | PR: https://github.com/calungaproject/index/pull/4189
2026-06-29 10:55:08 | pkce | Position: 14 | Priority: HIGH (top priority) | PR: https://github.com/calungaproject/index/pull/4194
2026-06-29 10:55:08 | pystache | Position: 16 | Priority: HIGH (top priority) | PR: https://github.com/calungaproject/index/pull/4195
2026-06-29 10:55:08 | requests-futures | Position: 17 | Priority: HIGH (top priority) | PR: https://github.com/calungaproject/index/pull/4196
2026-06-29 10:55:08 | cross-web | Position: 209 | Priority: LOW (lower priority) | PR: N/A

# Cleared on 2026-06-29 15:43:09
2026-06-29 15:43:09 | strawberry-graphql | Position: 15 | Priority: HIGH (top priority) | PR: https://github.com/calungaproject/index/pull/4198
2026-06-29 15:43:09 | url-normalize | Position: 18 | Priority: HIGH (top priority) | PR: https://github.com/calungaproject/index/pull/4199
2026-06-29 15:43:09 | abnf | Position: 19 | Priority: HIGH (top priority) | PR: https://github.com/calungaproject/index/pull/4200
2026-06-29 15:43:09 | cvss | Position: 25 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4206
2026-06-29 15:43:09 | esprima | Position: 28 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4208
2026-06-29 15:43:09 | extratools | Position: 29 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4209

# Cleared on 2026-06-29 16:28:28
2026-06-29 16:28:28 | langchain-aws | Position: 32 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4215
2026-06-29 16:28:28 | llama-cloud | Position: 36 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4218

# Cleared on 2026-06-29 17:09:34
2026-06-29 17:09:34 | arpy | Position: 18 | Priority: HIGH (top priority) | PR: N/A
2026-06-29 17:09:34 | langchain-milvus | Position: 33 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4216
2026-06-29 17:09:34 | langchain-nvidia-ai-endpoints | Position: 34 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4217
2026-06-29 17:09:34 | pgpy13 | Position: 61 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4242
2026-06-29 17:09:34 | prefixspan | Position: 63 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4244
2026-06-29 17:09:34 | pydpkg | Position: 64 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4245
2026-06-29 17:09:34 | pymilvus | Position: 65 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/1858
2026-06-29 17:09:34 | striprtf | Position: 74 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4251
2026-06-29 17:09:34 | tantivy | Position: 75 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4252
2026-06-29 17:09:34 | univers | Position: 76 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4253

# Cleared on 2026-06-29 17:15:55
2026-06-29 17:15:55 | absolufy-imports | Position: 72 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4258

# Cleared on 2026-06-29 17:58:39
2026-06-29 17:58:39 | wikipedia | Position: 69 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4255
2026-06-29 17:58:39 | a2a-sdk | Position: 70 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4256
2026-06-29 17:58:39 | a2wsgi | Position: 71 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4257
2026-06-29 17:58:39 | acceldata-sdk | Position: 72 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4259
2026-06-29 17:58:39 | accessible-pygments | Position: 73 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4260
2026-06-29 17:58:39 | adbc-driver-manager | Position: 75 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4262
2026-06-29 17:58:39 | agt-lab-server | Position: 77 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4264
2026-06-29 17:58:39 | aiokafka | Position: 80 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4267
2026-06-29 17:58:39 | airflow-code-editor | Position: 86 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4273
2026-06-29 17:58:39 | alchemy-mock | Position: 87 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4274
2026-06-29 17:58:39 | allpairspy | Position: 88 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4275
2026-06-29 17:58:39 | allure-pytest | Position: 89 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4276
2026-06-29 17:58:39 | allure-python-commons | Position: 90 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4277
2026-06-29 17:58:39 | altgraph | Position: 91 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4278

# Cleared on 2026-06-29 18:53:22
2026-06-29 18:53:22 | antiorm | Position: 79 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4280
2026-06-29 18:53:22 | approval-utilities | Position: 93 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4287
2026-06-29 18:53:22 | approvaltests | Position: 94 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4288
2026-06-29 18:53:22 | arabic-reshaper | Position: 95 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4289
2026-06-29 18:53:22 | archeanvision-api | Position: 96 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4290
2026-06-29 18:53:22 | argopt | Position: 98 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4292
2026-06-29 18:53:22 | arize-otel | Position: 100 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4294
2026-06-29 18:53:22 | arize-phoenix-client | Position: 101 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4295
2026-06-29 18:53:22 | armory9 | Position: 102 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4296
2026-06-29 18:53:22 | arq | Position: 103 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4297
2026-06-29 18:53:22 | artemis | Position: 104 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4298
2026-06-29 18:53:22 | asgi-correlation-id | Position: 105 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4299
2026-06-29 18:53:22 | asyncache | Position: 106 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4300
2026-06-29 18:53:22 | asyncer | Position: 107 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4301
2026-06-29 18:53:22 | asyncio-throttle | Position: 108 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4302
2026-06-29 18:53:22 | asyncstdlib | Position: 109 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4303
2026-06-29 18:53:22 | atomicwrites | Position: 111 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4304
2026-06-29 18:53:22 | autobahn | Position: 115 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4308
2026-06-29 18:53:22 | empty-files | Position: 276 | Priority: LOW (lower priority) | PR: N/A
2026-06-29 18:53:22 | txaio | Position: 724 | Priority: LOW (lower priority) | PR: N/A

# Cleared on 2026-06-29 19:07:39
2026-06-29 19:07:39 | augmented | Position: 95 | Priority: MEDIUM (secondary priority) | PR: https://github.com/calungaproject/index/pull/4305
2026-06-29 19:07:39 | flask-oauthlib | Position: 282 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4314
2026-06-29 19:07:39 | Flask-Pydantic | Position: 284 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4316
2026-06-29 19:07:39 | Flask-PyMongo | Position: 285 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4317
2026-06-29 19:07:39 | flask-restful | Position: 286 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4318

# Cleared on 2026-06-29 19:21:23
2026-06-29 19:21:23 | flask-oidc | Position: 281 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4315
2026-06-29 19:21:23 | flask-restx | Position: 283 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4320
2026-06-29 19:21:23 | flask-smorest | Position: 284 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4321
2026-06-29 19:21:23 | flask-swagger-ui | Position: 286 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4323
2026-06-29 19:21:23 | flask-wikimediaui | Position: 288 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4325
2026-06-29 19:21:23 | fortune-python | Position: 292 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4329
2026-06-29 19:21:23 | fpdf2 | Position: 293 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4330
2026-06-29 19:21:23 | furl | Position: 296 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4332
2026-06-29 19:21:23 | orderedmultidict | Position: 468 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4484
2026-06-29 19:21:23 | webargs | Position: 720 | Priority: LOW (lower priority) | PR: N/A

# Cleared on 2026-06-29 19:30:57
2026-06-29 19:30:57 | gdrive-core | Position: 290 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4334
2026-06-29 19:30:57 | git-fame | Position: 292 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4336
2026-06-29 19:30:57 | google | Position: 293 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4337
2026-06-29 19:30:57 | google-apitools | Position: 295 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4339

# Cleared on 2026-06-29 19:58:59
2026-06-29 19:58:59 | google-cloud-discoveryengine | Position: 295 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4342
2026-06-29 19:58:59 | gym | Position: 305 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4348
2026-06-29 19:58:59 | gym-notices | Position: 306 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4349
2026-06-29 19:58:59 | http-exceptions | Position: 310 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4352

# Cleared on 2026-06-29 20:46:39
2026-06-29 20:46:39 | google-cloud-os-config | Position: 297 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4345
2026-06-29 20:46:39 | google-cloud-recommendations-ai | Position: 299 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4347
2026-06-29 20:46:39 | greenery | Position: 303 | Priority: LOW (lower priority) | PR: N/A
2026-06-29 20:46:39 | hdfs | Position: 305 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4350
2026-06-29 20:46:39 | httpx-auth | Position: 307 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4353
2026-06-29 20:46:39 | httpx-ntlm | Position: 308 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4354
2026-06-29 20:46:39 | httpx-retries | Position: 309 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4355
2026-06-29 20:46:39 | Hypercorn | Position: 310 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4356
2026-06-29 20:46:39 | ibis-framework | Position: 312 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4358
2026-06-29 20:46:39 | imagekitio | Position: 314 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4360
2026-06-29 20:46:39 | immutables | Position: 315 | Priority: LOW (lower priority) | PR: https://github.com/calungaproject/index/pull/4361
